Instituição Responsável ;Nome do Programa ;Area de Interesse;Número da chamada;DATA DE VENCIMENTO;EDITAL
Institoto Coca Cola Brasil;Chamada de Soluções Água+ Acesso;Meio Ambiente / Comunidade ;;07/07/2017;http://aguamaisacesso.com.br/
Ministério do Trabalho (MTB);Chamamento Público - Redes de Cooperação Solidária;Assistência Social/ Desenvolvimento comunitário /Empreendedorismo / Geração de Emprego e Renda/ Formação para o trabalho;;29/06/2017;https://prosas.com.br/editais/2482-chamamento-publico-redes-de-cooperacao-solidaria
Organização Mundial do Turismo;Prêmio de Inovação em Turismo;Turismo;;30/09/2017;http://know.unwto.org/content/unwto-awards-innovation-tourism
Fundação Toyota;Programa de Financiamento de Pesquisas;Inovação;;08/09/2017;http://www.toyotafound.or.jp/english/research/2017/
Dubai Internacional Award For Best Practices;Prêmio Internacional Dubai para Melhores Práticas para Melhorar o Ambiente Habitacional;Meio Ambiente / Comunidade;;30/09/2017;http://www.dubaiaward.ae/
Banrisul, Banco do Estado do Rio Grande do Sul S.A;Programa Banrisul de Patrocínios;Inovação;;30/06/2017;http://www.banrisul.com.br/BOB/LINK/bobw00hn_promocao.aspx?secao_id=1969
Secretaria do Estado de Cultura do Rio de Janeiro;Apresnetação de Projetos Culturais para a Lei de Incentivo;Cultura;;01/12/2017;https://prosas.com.br/editais/1989-apresentacao-de-projetos-culturais-para-a-lei-de-incentivo#!#tab_vermais_descricao
Fundação Merieux;Fundação Merieux Grants Programme;Saúde;;01/03/2018;https://prosas.com.br/editais/2455-fondation-merieux-grants-programme#!#tab_vermais_descricao
Secretaria de Estado de Segurança Pública - Minas Gerais;Secretaria de Estado de Segurança Pública - Edital nº 012/2017;Segurança/ Educação;;08/07/2017;http://www.sigconsaida.mg.gov.br/component/content/article/49-parcerias/editais/82-secretaria-de-estado-de-seguranca-publica-edital-n-012-2017?Itemid=111
Secretaria de Estado de Segurança Pública - Minas Gerais;Secretaria de Estado de Segurança Pública - Edital nº 011/2017;Segurança/ Educação;;08/07/2017;http://www.sigconsaida.mg.gov.br/component/content/article/49-parcerias/editais/81-secretaria-de-estado-de-seguranca-publica-edital-n-011-2017?Itemid=111
Secretaria de Estado de Segurança Pública - Minas Gerais;Secretaria de Estado de Segurança Pública - Edital nº 010/2017;Segurança/ Educação;;08/07/2017;http://www.sigconsaida.mg.gov.br/component/content/article/49-parcerias/editais/80-secretaria-de-estado-de-seguranca-publica-edital-n-010-2017?Itemid=111
Secretaria de Estado de Segurança Pública - Minas Gerais;Secretaria de Estado de Segurança Pública - Edital nº 009/2017;Segurança/ Educação;;08/07/2017;http://www.sigconsaida.mg.gov.br/component/content/article/49-parcerias/editais/79-secretaria-de-estado-de-seguranca-publica-edital-n-009-2017?Itemid=111
Secretaria de Estado de Segurança Pública - Minas Gerais;Secretaria de Estado de Segurança Pública - Edital nº 008/2017;Segurança/ Educação;;08/07/2017;http://www.sigconsaida.mg.gov.br/component/content/article/49-parcerias/editais/78-secretaria-de-estado-de-seguranca-publica-edital-n-008-2017?Itemid=111
Secretaria de Estado de Segurança Pública - Minas Gerais;Secretaria de Estado de Segurança Pública - Edital nº 007/2017;Segurança/ Educação;;08/07/2017;http://www.sigconsaida.mg.gov.br/component/content/article/49-parcerias/editais/74-secretaria-de-estado-de-seguranca-publica-edital-n-007-2017?Itemid=111
Secretaria de Estado de Direitos Humanos, Participação Social e Cidadania - SEDPAC;Edital 02/2017 - SEDPAC - Programas PROVITA e PPCAAM;Segurança;;04/07/2017;http://www.sigconsaida.mg.gov.br/component/content/article/49-parcerias/editais/75-edital-02-2017-sedpac-centro-de-referencia-em-direitos-humanos?Itemid=111
Fundação André e Lucia Maggi;Prêmio Fundação André e Lucia Maggi;Inovação;;20/09/2017;http://fundacaoandreeluciamaggi.org.br/premio-fundacao-andre-e-lucia-maggi-2/#.WVEhy2jyuM8
Fundo Socioambiental CASA; Convocatória de Propostas para a Mobilidade a Pé e Mudança do Clima;Meio Ambiente;;03/07/2017;http://captadores.org.br/2017/06/21/fundo-socioambiental-casa-lanca-edital-para-a-mobilidade-a-pe-e-mudanca-do-clima/
Fundo Socioambiental Caixa (FSA) ;Edital Projetos de Desenvolvimento e Cidadania - Fundo Socioambiental Caixa;;;11/07/2017;https://prosas.com.br/editais/2518-edital-projetos-de-desenvolvimento-e-cidadania-fundo-socioambiental-caixa#!#tab_vermais_descricao
KR Foundation;KR Foundation;Meio Ambiente;;04/09/2017;https://prosas.com.br/editais/2314-kr-foundation
