cnpj;identificador_matriz_filial;razao_social;nome_fantasia;situacao;situacao_desc;data_situacao;motivo_situacao;motivo_situacao_desc;natureza_juridica;nat_jur_desc;data_inicio;ano_inicio;cnae_subclasse;subclasse_desc;cnae_classe;classe_desc;cnae_grupo;grupo_desc;cnae_divisao;divisao_desc;endereco_completo;tipo_logradouro;endereco;numero;complemento;bairro;cep;codemun;municipio;geocod_ibge_2018;nome_munic_ibge;uf;cidade_exterior;cod_pais;nome_pais;ddd1;telefone1;ddd2;telefone2;nu_ddd_fax;nu_fax;email;qualificacao;capital_social;porte_empresa;opcao_simples;data_opcao_simples;data_exclusao_simples;opcao_mei;situacao_especial;data_situacao_especial;ind_osc;id_mapa;certificado_OSCIP;macro_area_atuacao;micro_area_atuacao;n_vinc_ativos;n_vinc_def;empenhado;pago;empenhado_def;pago_def;cnae_secundaria;cnae2_classe;cnae2_classe_desc;PrecisionDepth;MatchedAddress;Longitude;Latitude
00000001000136;Matriz;ASSOCIACAO DE AMIGOS DE BAIRRO DO CONJ PAULISTANO;;2;;2019-02-07;00;;3999;Associação Privada;1994-06-03;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA REGINA GARBA 02;RUA;REGINA GARBA;02;;JD PAULISTANO;02813030;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA REGINA GARBA 2, JARDIM PAULISTANO (ZONA NORTE), SAO PAULO, SP, 02813030;-46,7104666499996;-23,4529937629996
00000014000105;Matriz;CLUBE DE MAES DA CASA VERDE ALTA E ADJACENCIAS;;2;;2019-07-05;00;;3999;Associação Privada;1994-06-08;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA JOAQUIM AFONSO DE SOUZA 85;RUA;JOAQUIM AFONSO DE SOUZA;85;;CASA VERDE ALTA;02543100;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA JOAQUIM AFONSO DE SOUZA 85, VILA CELESTE (MANDAQUI), SAO PAULO, SP, 02543000;-46,6662956319996;-23,4908775679996
00000014000296;Filial;CLUBE DE MAES DA CASA VERDE ALTA E ADJACENCIAS;CEI CARROSSEL ENCANTADO;2;;2019-07-05;00;;3999;Associação Privada;2013-08-20;2013;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA SALVADOR CANDIDO E SILVA 88;RUA;SALVADOR CANDIDO E SILVA;88;;VILA AMALIA (ZONA NORTE);02618040;7107;SAO PAULO;;;SP;;;;11;22368642;11;39269718;;;PAULO.CONT@GLOBO.COM;16;;05;0;;;;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA SALVADOR CANDIDO E SILVA 88, VILA AMÁLIA (ZONA NORTE), SAO PAULO, SP, 02618040;-46,6525372089996;-23,4670496219996
00000014000377;Filial;CLUBE DE MAES DA CASA VERDE ALTA E ADJACENCIAS;CEI CLUBE DE MAES;2;;2019-07-05;00;;3999;Associação Privada;2013-08-20;2013;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA DOUTOR JOAQUIM D'AQUINO FONSECA 227;RUA;DOUTOR JOAQUIM D'AQUINO FONSECA;227;;SITIO DO MANDAQUI;02542080;7107;SAO PAULO;;;SP;;;;11;22368642;;;;;CRECHE.CVERDE@HOTMAIL.COM;16;;05;0;;;;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA DOUTOR JOAQUIM D AQUINO FONSECA 227, SÍTIO DO MANDAQUI, SAO PAULO, SP, 02542080;-46,6610759049996;-23,4860948719996
00000017000149;Matriz;ASSOCIACAO VIVER EM CRISTO;MAC-MINISTERIO ARTISTAS DE CRISTO;2;;2005-11-03;00;;3999;Associação Privada;1994-06-08;1994;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA DIAMANTINO MATHEUS 428;RUA;DIAMANTINO MATHEUS;428;;CACHOEIRINHA;02880030;7107;SAO PAULO;;;SP;;;;11;38518399;;;;;arlindolocatellif@ig.com.br;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA DIAMANTINO MATHEUS 428, VILA FRANCOS, SAO PAULO, SP, 02880030;-46,6726573069996;-23,4646000619996
00000039000109;Matriz;MISSAO RAMA DO BRASIL;;2;;2004-12-24;00;;3999;Associação Privada;1994-06-13;1994;8520100;Ensino médio;85201;Ensino médio;852;Ensino médio;85;EDUCAÇÃO;RUA DA FRATERNIDADE 501;RUA;DA FRATERNIDADE;501;FUNDOS;ALTO DA BOA VISTA;04738020;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Educação e pesquisa;Ensino médio;;;;;;;;;;4 Estrelas;RUA DA FRATERNIDADE 501, SANTO AMARO, SAO PAULO, SP, 04738020;-46,6946151909996;-23,6436414569996
00000043000177;Matriz;IGREJA EVANGELICA ASSEMBLEIA DE DEUS CHAVE DE DAVI;;2;;2019-07-04;00;;3999;Associação Privada;1994-06-13;1994;9491000;Atividades de organizações religiosas ou filosóficas;94910;Atividades de organizações religiosas;949;Atividades de organizações associativas não especificadas anteriormente;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;AVENIDA AFONSO LOPES VIEIRA 7A;AVENIDA;AFONSO LOPES VIEIRA;7A;;VILA DIONISIA;02671100;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Religião;Religião;;;;;;;;;;4 Estrelas;RUA AFONSO LOPES VIEIRA 7, VILA DIONÍSIA, SAO PAULO, SP, 02671100;-46,6679637899996;-23,4682010289996
00000048000108;Matriz;ASSOCIACAO VIRTUDE PLENA;VIRTUDE PLENA;2;;2005-11-03;00;;3999;Associação Privada;1994-06-15;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA NUCLEO BANDEIRANTE 125;RUA;NUCLEO BANDEIRANTE;125;;JARDIM PAQUETA ZONA NORTE;02952150;7107;SAO PAULO;;;SP;;;;11;39723161;11;34816834;11;39723161;VIRTUDEPLENAASSOCIACAO@GMAIL.COM;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA NUCLEO BANDEIRANTE 125, JARDIM PAQUETÁ (ZONA NORTE), SAO PAULO, SP, 02952150;-46,7168198709996;-23,4723625849996
00000054000157;Matriz;ACAO COMUNITARIA FEMININA DO JARDIM MONTE ALEGRE;;4;;2019-01-10;63;OMISSÃO DE DECLARAÇÕES;3999;Associação Privada;1994-06-14;1994;9430800;Atividades de associações de defesa de direitos sociais;94308;Atividades de associações de defesa de direitos sociais;943;Atividades de associações de defesa de direitos sociais;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;RUA JURUBIM 935;RUA;JURUBIM;935;;JD MONTE ALEGRE;05170100;7107;SAO PAULO;;;SP;;;;;;;;;;;16;;05;0;;;N;;;1;1;;Desenvolvimento e defesa de direitos e interesses;Desenvolvimento e defesa de direitos;;;;;;;;;;4 Estrelas;RUA JURUBIM 935, VILA BOAÇAVA, SAO PAULO, SP, 05170100;-46,7547018379996;-23,4831987139996
00000066000181;Matriz;ASSOCIACAO BENEFICENTE DESPERTAR DIVINO;;2;;2008-12-31;00;;3999;Associação Privada;1994-06-20;1994;8511200;Educação infantil - creche;85112;Educação infantil - creche;851;Educação infantil e ensino fundamental;85;EDUCAÇÃO;RUA ENSEADA DAS GAROUPAS 544;RUA;ENSEADA DAS GAROUPAS;544;;VILA SILVA TELES;08110210;7107;SAO PAULO;;;SP;;;;11;20252539;;;;;CRESCENDOCOMALEGRIA@GMAIL.COM;16;;05;0;;;N;;;1;1;;Educação e pesquisa;Educação infantil;;;;;;;;;;4 Estrelas;RUA ENSEADA DAS GAROUPAS 544, VILA SILVA TELES, SAO PAULO, SP, 08110210;-46,4012101379996;-23,5012175969996
